animal_id,herd,parity,calving_date,milk_305_kg,fat_pct,protein_pct,scc
A00072,H1,4,2023-08-16,10305.391522730657,3.3622412028365405,3.0156076887647827,161958.4038649637
A00687,H2,3,2022-06-25,8554.592266608117,4.019849493715707,3.3900025483772107,156062.0543786802
A00322,H1,5,2023-09-09,9445.730919466652,3.61027934979275,3.408121054235309,145573.30111782873
A00182,H2,4,2023-05-01,10474.628468548492,3.761367629482799,3.1729009920106406,121432.08846066495
A00292,H1,3,2024-01-19,10151.992835045568,4.385411900217615,3.176845297050769,110309.45646779201
A00124,H1,1,2023-10-05,9516.610068827173,3.821513135586281,3.0987718341467447,91464.1017484373
A00452,H1,4,2022-08-08,8425.599534028732,3.9857885670762982,3.130208252688035,172419.78053611997
A00667,H1,5,2023-01-30,10183.041010185367,3.90589888719367,3.3722044413529413,156207.10700925894
A00638,H2,4,2023-10-08,8713.851463394842,3.682406836426801,3.1350019873161985,127173.20082367068
A00565,H1,3,2024-07-04,10559.407863659175,3.4292825570960486,3.1897206946025607,165386.82650886048
A00453,H2,3,2024-12-24,8965.52709548692,3.684412051833858,3.4044356586262876,133733.99287400756
A00244,H3,1,2022-11-17,6935.082389153817,3.9242901860134407,3.2756366324927018,226994.66307833986
A00102,H2,3,2025-09-25,8822.567052031645,3.914193809389353,3.130853330608003,120639.04476390427
A00532,H1,4,2024-09-15,9844.68767610221,3.732649414949319,3.2522489413709836,200153.24325712072
A00398,H1,4,2022-08-16,9077.914797138827,3.8300704472733997,2.9462798018875547,62951.70283010215
A00305,H1,2,2025-08-09,9736.739884058428,3.6236302361599844,3.18193074027291,327069.3646676277
A00211,H2,4,2024-12-16,8967.371644717943,3.5624944862723544,3.188974046337899,248345.31492574667
A00360,H1,4,2023-02-23,9974.234259733987,3.701462511075801,2.989709586210078,156634.17622403873
A00395,H1,4,2023-02-27,11209.724683315719,3.7901610931317435,3.0657704513280644,167034.54963649105
A00502,H1,1,2023-11-08,9293.410989971766,3.939217764787377,3.513394520419521,73506.76637479143
A00635,H3,1,2025-09-16,6467.394910594509,3.958787736703601,3.209999914522221,62063.09428785437
A00465,H1,3,2024-12-07,10377.18122985622,4.349182722922946,3.7744952438813195,192343.13800990573
A00129,H1,3,2025-01-10,9002.611643057004,3.746160684955078,3.1398225761692347,137849.2590274482
A00214,H2,1,2025-05-11,8312.205454938588,3.5410865617935467,2.9485570699532158,112039.39479072415
A00096,H2,2,2024-09-26,9017.663637152518,4.045684877755765,3.1601267922629526,73675.40562783822
A00582,H1,1,2024-01-30,10714.377869223645,3.6446533301939033,3.400928056672542,87258.84988138828
A00163,H1,5,2024-05-01,9435.942152088091,3.686303076142652,3.3302929962667744,114165.04971936185
