farm,animal_id,parity,calving_date,milk_305_kg,fat_pct,protein_pct,scc
farm_4,A000001,1,2022-09-15,7920.006236136743,3.9566165229443966,3.2723219742417893,
farm_4,A000001,2,2023-10-11,8246.369099456608,,,
farm_4,A000001,3,2024-10-26,9402.88445427648,3.6522781593922944,,
farm_4,A000001,4,2025-10-17,10756.199481301797,3.473098879829912,2.870680091642157,
farm_4,A000001,5,2026-11-02,10826.438627643418,3.607659737817992,3.226745521234951,
farm_5,A000002,1,2019-04-19,7612.377912953982,,,156773.7754439382
farm_5,A000002,2,2020-04-21,9849.608932503023,,,
farm_5,A000002,3,2021-05-31,13751.514213293125,3.854911290070761,3.144090755318077,134320.81618800314
farm_1,A000003,1,2024-03-26,7011.586263067167,4.058833671673053,,77332.07317735504
farm_1,A000003,2,2025-03-22,8022.3043977285815,4.0382503981914954,3.0336273574059445,169699.775761079
farm_8,A000004,1,2021-06-07,8491.892405649927,3.9648628102784027,,177625.14154380138
farm_8,A000004,2,2022-06-20,10697.661825254268,3.9569015743904576,3.149688656606624,
farm_8,A000005,1,2019-08-13,10398.837150612411,3.7735524030370717,3.192697062894173,28060.35629707131
farm_8,A000005,2,2020-08-21,7149.83608003501,3.7350060028329413,3.043525182582643,159521.46365877904
farm_8,A000005,3,2021-09-12,12331.506669987337,3.854243197509218,3.0294473947427494,83116.5449227084
farm_8,A000005,4,2022-10-16,9653.883404988159,4.04450013104289,2.9276350204744745,323437.13127124374
farm_2,A000006,1,2020-10-19,4920.219125511153,3.659539475162075,3.286284971617296,35409.70422032554
farm_2,A000006,2,2022-01-10,9361.960488511177,4.095391929104786,3.6218577295062726,242147.23460725098
farm_2,A000007,1,2023-05-20,6174.778587499324,3.4587148307857993,3.072104585721283,36422.87313280491
farm_2,A000007,2,2024-05-31,7937.665625463967,3.811151931108572,3.4262743583265927,624846.4226129124
farm_2,A000008,1,2022-02-02,16447.899369261282,3.550589525300593,,69674.84861502341
farm_2,A000008,2,2023-02-07,8171.254615188703,3.813385157653875,,241571.3721048369
farm_2,A000009,1,2020-02-14,6994.569445293578,,3.198227934442931,59261.35698142631
farm_2,A000009,2,2021-02-04,9708.304658917237,,3.0168024243661486,
farm_2,A000009,3,2022-02-14,10462.392120121129,3.6758670661295074,2.992371363322739,173807.66163636275
farm_2,A000009,4,2023-02-13,9015.48688848469,4.006778857141442,,74520.91643402986
farm_2,A000009,5,2024-03-09,10400.821234964786,,3.432694152113277,
farm_2,A000009,6,2025-04-05,9975.987324448735,,3.1097778605977617,117206.42940069252
farm_2,A000009,7,2026-04-30,6612.573855713773,4.074136779557564,2.8055743067902497,
farm_3,A000010,1,2018-10-19,7643.9525727319315,3.897292452555862,3.200127552982494,
farm_3,A000010,2,2019-10-24,7254.829323522884,4.351382392066354,3.4158806205670853,
farm_3,A000010,3,2020-12-01,10649.423701414387,3.922231809909757,3.1178654541459285,347771.7039078689
farm_3,A000010,4,2021-12-30,8290.689966346552,4.064695168372562,3.235663697204458,
farm_3,A000010,99,2023-01-17,7466.745257317506,3.9307599082408893,3.1769551637630173,
farm_3,A000010,6,2024-01-27,8621.376935753722,,,264867.11593087064
farm_3,A000011,1,2020-03-17,7664.475835601629,,3.2004790084627794,295271.3632669823
farm_3,A000011,2,2021-02-23,11026.613663591359,,2.9675057510958096,
farm_3,A000011,3,2022-02-09,8409.753041575217,,3.3833216226675153,105318.5407912632
farm_3,A000011,4,2023-02-23,6351.178646381804,,3.402157525038646,
farm_2,A000012,1,2018-11-22,6515.522929791107,,3.1139908920726675,175843.10430390073
farm_2,A000012,2,2019-12-29,8764.518906478974,4.089941240487943,3.2924622515044764,167328.81050205158
farm_4,A000013,1,2018-10-27,8204.416882586258,3.315923548414999,2.8467077855246816,85848.60070066641
farm_4,A000013,2,2019-10-30,11986.71657284962,3.997085755214855,3.085325868874936,155145.78718198463
farm_4,A000013,3,2021-01-14,7786.165568527805,4.202823941727566,3.3738697553850034,404027.1512450924
farm_2,A000014,1,2022-10-11,9451.766003809973,3.877492165246176,,172633.36362828928
farm_2,A000014,2,2023-10-31,9409.983546185922,4.2713455790036585,3.032957665816111,
farm_2,A000014,3,2024-12-23,8571.064812237893,,3.236611155809046,234618.11130478667
farm_2,A000014,4,2026-01-09,11066.469004580054,3.8940443878209337,3.441514907075288,158947.15186334992
farm_2,A000015,1,2023-06-21,8678.332363613912,3.6463196356836898,3.0904978470885283,130308.44666030775
farm_2,A000015,2,2024-07-04,9414.858948755013,3.9848658673087964,3.355552526871521,104710.99581397738
farm_2,A000015,3,2025-08-14,9935.244287879166,,3.108846540505836,307145.3330967384
farm_2,A000015,4,2026-08-21,7352.965936746902,3.5757569239752205,,96148.93732496643
farm_2,A000016,1,2021-05-23,5717.279096455423,3.8216075472718853,3.1236613131948623,
farm_2,A000016,2,2022-06-13,7606.37819242862,4.101148644842097,3.2328568574388816,
farm_2,A000016,3,2023-06-26,9438.445656880689,3.6750698751450517,,74340.10206015912
farm_2,A000016,4,2024-06-24,9799.982588650375,4.001591356164427,3.091908016726671,
farm_2,A000016,5,2025-06-27,10447.792574229092,3.9208312068132005,3.391014969729785,
farm_3,A000017,1,2023-12-21,9256.980213826067,3.5095472309096407,2.8886895680661238,145326.16613398254
farm_3,A000017,2,2024-11-26,8373.391483917205,3.7310903084862184,3.174513251341336,86463.18458494803
farm_8,A000018,1,2022-05-20,7844.331257860182,3.9722911142685837,3.0769458291884506,129035.06709995077
farm_8,A000018,2,2023-06-08,9375.371602783602,3.9090014438056446,3.351891111735513,186155.8186532599
farm_8,A000018,3,2024-07-08,7391.056257661559,,3.3312094150226814,102497.90591453506
farm_2,A000019,1,2024-05-17,9150.69274647559,3.744733615847418,3.08108455108086,120389.54297296917
farm_2,A000019,2,2025-06-19,7882.746211436232,,3.3993422475204116,
farm_2,A000019,3,2026-07-02,9702.422590408405,3.3165907397475802,,187679.82192216863
farm_2,A000019,4,2027-07-22,11263.173687763561,3.9996921653683875,,95774.28098766191
farm_2,A000019,5,2028-09-06,6346.870389604656,3.9099564517577705,,170634.53982933224
farm_2,A000019,6,2029-10-19,7260.076350008623,3.5475424809752725,3.3034525243658655,
farm_3,A000020,1,2024-09-26,7655.141495475202,3.854664826689324,3.1196623072578182,134327.8803789677
farm_3,A000020,2,2025-10-25,9409.492047326688,3.707765140242134,3.2384855829093917,
farm_3,A000020,3,2026-12-27,8373.755823470252,3.9390055242105726,3.093568738015659,54326.93355141081
farm_3,A000020,4,2028-01-05,10783.761143845994,,3.36662099771049,125049.43026848945
farm_3,A000020,5,2029-01-11,9612.99551944165,4.395428382933137,3.3489024993783363,283878.7685179065
farm_4,A000021,1,2019-10-11,7309.221350414409,3.849294935951406,3.060900609171012,
farm_4,A000021,2,2020-10-19,11732.285009819105,3.4098482532417678,3.5276927180395248,105890.2671054693
farm_4,A000021,3,2021-10-14,12659.25611257123,3.9751915018013713,3.3319508208569872,133933.17079900223
farm_4,A000021,4,2022-10-19,9451.101824923446,3.850946888301702,3.4363247071489047,
farm_1,A000022,1,2022-09-10,9414.589657309869,3.7933121886064654,,127161.19440185494
farm_1,A000022,2,2023-10-12,9604.021191806278,,3.3189984999826114,120317.24198984777
farm_1,A000022,3,2024-11-20,8107.042238678115,3.4182397347948856,3.1093767780978094,95785.25972622346
farm_1,A000022,4,2025-11-29,9478.524179778175,3.306332276353223,3.0651657410027693,193313.2761751448
